
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 29-Oct-2025 at 22:26:08.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    1.5500   9.8746569E+05   1.4028793E+06   9.8461097E+05   7.9003343E+05   1.2024160E+06   7.8686225E+05
    1.5625   9.8718699E+05   1.4034654E+06   9.8436725E+05   7.8973447E+05   1.2032208E+06   7.8636961E+05
    1.5750   9.8691446E+05   1.4040508E+06   9.8412298E+05   7.8944013E+05   1.2040142E+06   7.8588803E+05
    1.5875   9.8664880E+05   1.4046361E+06   9.8387682E+05   7.8915012E+05   1.2047957E+06   7.8541861E+05
    1.6000   9.8639070E+05   1.4052211E+06   9.8362781E+05   7.8886414E+05   1.2055649E+06   7.8496238E+05
    1.6125   9.8614078E+05   1.4058055E+06   9.8337544E+05   7.8858185E+05   1.2063216E+06   7.8452031E+05
    1.6250   9.8589957E+05   1.4063885E+06   9.8311970E+05   7.8830297E+05   1.2070656E+06   7.8409330E+05
    1.6375   9.8566754E+05   1.4069689E+06   9.8286113E+05   7.8802727E+05   1.2077964E+06   7.8368220E+05
    1.6500   9.8544554E+05   1.4075445E+06   9.8260117E+05   7.8775466E+05   1.2085139E+06   7.8328782E+05
    1.6625   9.8523331E+05   1.4081141E+06   9.8234063E+05   7.8748517E+05   1.2092175E+06   7.8291093E+05
    1.6750   9.8503153E+05   1.4086752E+06   9.8208153E+05   7.8721896E+05   1.2099067E+06   7.8255226E+05
    1.6875   9.8484033E+05   1.4092258E+06   9.8182552E+05   7.8695636E+05   1.2105808E+06   7.8221245E+05
    1.7000   9.8466003E+05   1.4097636E+06   9.8157438E+05   7.8669780E+05   1.2112391E+06   7.8189213E+05
    1.7125   9.8449093E+05   1.4102866E+06   9.8132976E+05   7.8644385E+05   1.2118807E+06   7.8159178E+05
    1.7250   9.8433337E+05   1.4107930E+06   9.8109310E+05   7.8619516E+05   1.2125048E+06   7.8131181E+05
